Name,Legacy 3b SKU,qty
200-0012,AM-CAM-GC-81423,13
200-0013,AM-CHRG-PQ-6PC302R2A,12
200-0020,AM-VT-SC-C-GY-OB,3
200-0024,AM-VT-SC-CH-GY-OB,2
200-0026,AM-VT-SC-CH-TAN-OB,7
200-0168_1,AM-VT-SC-C-TAN,25
200-0169_1,AM-VT-SC-CH-TAN,25
200-0197_1,AM-GC-83691-6,25
200-1410_2,AM-GC-83691-2,25
200-1420_1,AM-VJ-CACT-MIN1S-BK,1
200-1424_2,AM-VT-SC-C-BR,25
200-1424_3,AM-VT-SC-C-BL,25
200-1424_4,AM-VT-SC-C-GY,25
200-1441_2,AM-VT-SC-CH-BR,15
200-1441_3,AM-VT-SC-CH-BL,25
200-1441_4,AM-VT-SC-CH-GY,25
200-1500,AM-BKUP-GC-81581,11
200-1501,AM-CAM-GC-81738,17
200-1504,AM-VT-83585,14
240-0368,CEL-GC-81633-1-BK,25
240-0370,CEL-GC-81636-1-BK,25
240-0372,CEL-GC-81638-1-BK,13
240-0379,CEL-HTC-ADR6400,1
240-0380,CEL-M-A555,1
240-0381,CEL-PALM-P101,1
240-1406_1,CEL-GC-82803-1-BK,1
240-1406_2,CEL-GC-82803-2-WH,4
240-1443_5,CEA-GC-82529-2,25
250-1316,XG-DE-I5348-5555K-A,1
260-0665,KVM-IO-2PC-GCS22U,2
260-0667,KVM-WT-KS302,3
270-0038,CAB-1394A-6P6P-3,25
270-0042,CAB-AD-DPM-HDMIF,3
270-0043,CAB-AD-DPM-VGAF,9
270-0044,CAB-AD-MDPM-DVIF,4
270-0045,CAB-AD-MDPM-HDMIF,2
270-0046,CAB-AD-MDPM-VGAF,2
270-0047,CAB-AD-MUSBF-MICUSBM,10
270-0048,CAB-ADPT-20F-24M,25
270-0049,CAB-ADPT-20M-24F,25
270-0050,CAB-ADPT-24F-20M,25
270-0051,CAB-ADPT-AD-DVI,14
270-0054,CAB-AD-USBBF-MINUSBM,10
270-0055,CAB-AD-USBF-MICUSBM,4
270-0056,CAB-AUD-1F-2M,1
270-0057,CAB-AUD-1M-2F,2
270-0058,CAB-AUD-MF-12FT,1
270-0059,CAB-AUD-MF-25FT,2
270-0061,CAB-AUD-MM-12FT,1
270-0063,CAB-BY-AD-DPVGA-005,6
270-0064,CAB-CAT5-10FT,15
270-0065,CAB-CAT5-14FT,25
270-0066,CAB-CAT5-1FT,25
270-0067,CAB-CAT5-2FT,25
270-0068,CAB-CAT5-5FT,25
270-0069,CAB-CAT5-75FT,6
270-0070,CAB-CAT5-7FT,8
270-0071,CAB-CAT6-100FT,3
270-0073,CAB-CAT6-25FT,3
270-0075,CAB-CAT6-50FT,15
270-0076,CAB-CAT6-5FT,14
270-0077,CAB-CAT6-75FT,3
270-0078,CAB-CAT6-7FT,25
